Downloaded from: https://gender-pay-gap.service.gov.uk/,,,,,,,,,,,,,,,,,,,,,,,,
Correct as of: 9th February 2020,,,,,,,,,,,,,,,,,,,,,,,,
EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline,DueDate,DateSubmitted
SSE METERING LIMITED,"Grampian House,
200 Dunkeld Road,
Perth,
Perthshire,
Scotland,
PH1 3AQ",SC318950,82990,3.6,11.8,1.8,-6.7,24.5,11,77.8,22.2,85.6,14.4,94.2,5.8,86.3,13.7,https://ssemedia.blob.core.windows.net/production/do4kiczh/sse-sustainability-report-2019.pdf,Alistair Phillips-Davies (CEO),1000 to 4999,OVO (S) METERING LIMITED,FALSE,05/04/2020 00:00,03/07/2019 12:08
SSE PLC,"Inveralmond House,
200 Dunkeld Road,
Perth,
Perthshire,
PH1 3AQ",SC117119,70100,21.4,21,33.8,9.3,30.6,15.7,53.7,46.3,64.3,35.7,78.9,21.1,82.8,17.2,https://ssemedia.blob.core.windows.net/production/do4kiczh/sse-sustainability-report-2019.pdf,Alistair Phillips-Davies (CEO),"5000 to 19,999",SSE PLC,FALSE,05/04/2020 00:00,03/07/2019 12:10
SSE RENEWABLES LIMITED,"Inveralmond House, 200 Dunkeld Road,
Perth,
PH1 3AQ",SC435847,64202,31.5,37.6,46.8,53.4,72.3,53.5,56.3,43.7,60,40,61.4,38.6,93.7,6.3,https://ssemedia.blob.core.windows.net/production/do4kiczh/sse-sustainability-report-2019.pdf,Alistair Phillips-Davies (CEO),250 to 499,SSE RENEWABLES LIMITED,FALSE,05/04/2020 00:00,03/07/2019 12:12
SSE SERVICES PLC,"No.1 Forbury Place,
43 Forbury Road,
Reading,
United Kingdom,
RG1 3JH",2366879,82990,22.7,23.5,51.2,26.5,28,24,47.5,52.5,49.2,50.8,55.1,44.9,76.1,23.9,https://ssemedia.blob.core.windows.net/production/do4kiczh/sse-sustainability-report-2019.pdf,Alistair Phillips-Davies (CEO),1000 to 4999,SSE SERVICES PLC,FALSE,05/04/2020 00:00,03/07/2019 12:14
SSE TELECOMMUNICATIONS LIMITED,"Inveralmond House,
200 Dunkeld Road,
Perth,
PH1 3AQ",SC213457,61900,23.6,31.7,65.1,26.5,40.6,29.3,54.5,45.5,80.2,19.8,85,15,90.1,9.9,https://ssemedia.blob.core.windows.net/production/do4kiczh/sse-sustainability-report-2019.pdf,Alistair Phillips-Davies (CEO),250 to 499,SSE TELECOMMUNICATIONS LIMITED,FALSE,05/04/2020 00:00,03/07/2019 12:15
ST ANDREW'S HEALTHCARE,"St Andrew's Healthcare,
Billing Road,
Northampton,
England,
NN1 5DG",5176998,87200,7.1,0,nan,,0,0,35,65,39,61,38,62,36,64,https://www.stah.org/who-we-are/latest-news/st-andrews-healthcare-publishes-gender-pay-report/,Katie Fisher (Chief Executive Officer),1000 to 4999,ST ANDREW'S HEALTHCARE,FALSE,05/04/2020 00:00,27/01/2020 15:57
St Barnabas Hospices (Sussex) Ltd,"St Barnabas House Titnore Lane,
Goring-By-Sea,
Worthing,
West Sussex,
BN12 6NZ",930107,86220,-5,-4,-355,-110,6,4,16,84,8,92,12,88,6,94,https://www.stbarnabas-hospice.org.uk/about/our-reports/,Deborah Bellamy-Gearon (Acting HR Director),250 to 499,ST BARNABAS HOSPICES (SUSSEX) LTD,FALSE,05/04/2020 00:00,18/09/2019 12:02
St Bartholomew's School,"Andover Road,
Newbury,
RG14 6JP",,"1,
85310",13.8,30.8,nan,,0,0,17,83,32,68,39,61,38,62,https://www.stbarts.co.uk/,None,250 to 499,St Bartholomew's School,FALSE,31/03/2020 00:00,03/05/2019 10:10
ST BENEDICT'S SCHOOL EALING,"54 Eaton Rise,
Ealing,
London,
W5 2ES",8093330,"85100,
85200,
85310",23.9,32.3,nan,,0,0,19.4,80.6,23.6,76.4,40.3,59.7,56.3,43.7,https://www.stbenedicts.org.uk,Catherine Bedwin (Bursar),250 to 499,ST BENEDICT'S SCHOOL EALING,FALSE,05/04/2020 00:00,17/12/2019 11:15
ST CUTHBERT'S CARE,"St Cuthbert's House,
West Road,
Newcastle Upon Tyne,
England,
NE15 7PY",1645917,"87100,
87200,
87900,
88990",4.5,13,nan,,0,0,13,87,12,88,14,86,19,81,https://www.stcuthbertscare.org.uk/download/stCuthbertsCare/GenderPayGapReport2019.pdf,Geraldine Martin (Director of Human Resources),250 to 499,ST CUTHBERT'S CARE,FALSE,05/04/2020 00:00,16/07/2019 13:30
ST Edmundsbury Borough Council,"West Suffolk House,
Western Way,
Bury St Edmunds,
IP33 3YU",,"1,
84110",-0.8,-5.8,11.8,0,25.9,24,62.4,37.6,43.9,56.1,45.2,54.8,49.2,50.8,,None,500 to 999,ST Edmundsbury Borough Council,FALSE,31/03/2020 00:00,24/01/2020 15:37
ST HILDA'S COLLEGE OXFORD,,RC000598,,-5.1,7,nan,,0,0,42.2,57.8,53.8,46.2,59.5,40.5,46.2,53.8,,Hemlata Bountra (Accountant),250 to 499,ST HILDA'S COLLEGE OXFORD,FALSE,05/04/2020 00:00,22/01/2020 17:34
ST JOSEPH'S SERVICES,"Sycamore House,
72 Carnethie Street,
Rosewell,
Midlothian,
EH24 9AW",SC500182,"87200,
88100",9.4,10.1,nan,,0,0,15.4,84.6,5.8,94.2,13.7,86.3,19.6,80.4,,Robert Jahoda (Chief Executive Officer),250 to 499,ST JOSEPH'S SERVICES,FALSE,05/04/2020 00:00,04/02/2020 12:49
ST. ANN'S HOSPICE,"St. Ann's Road North,
Heald Green,
Cheadle,
Cheshire,
SK8 3SZ",947220,86101,8,-7.2,nan,,0,0,16,84,6,94,5,95,17,83,https://www.sah.org.uk/about-us/reports/,Eamonn O'Neal (Chief Executive Officer),250 to 499,ST. ANN'S HOSPICE,FALSE,05/04/2020 00:00,18/12/2019 12:09
St. Christophers Hospice,"51-59 Lawrie Park Road,
Sydenham,
London,
SE26 6DZ",681880,86101,8.1,0.6,nan,,0,0,19.1,80.9,9.8,90.2,13,87,15.9,84.1,,Mandy Piper-Killick (Director of People & Organisational Development),500 to 999,ST. CHRISTOPHERS HOSPICE,FALSE,05/04/2020 00:00,03/09/2019 14:44
ST. JOHN AMBULANCE,"St John's Gate,
St. John's Lane,
London,
England,
EC1M 4DA",3866129,86900,5.5,0,-63.1,43.3,20.9,16.1,45,55,53,47,49,51,51,49,,Stephen Foster (Director of People and Organisation),1000 to 4999,ST. JOHN AMBULANCE,FALSE,05/04/2020 00:00,31/01/2020 09:37
ST. LUKE'S HOSPICE,"Little Common Lane,,
Off Abbey Lane,,
Sheffield,
S11 9NE",922448,86900,6.4,-15.3,nan,,0,0,18.3,81.7,16.6,83.4,10,90,15.3,84.7,https://www.stlukeshospice.org.uk/job-opportunities/gender-pay-gap-report,Peter Hartland (Chief Executive),Less than 250,ST. LUKE'S HOSPICE,FALSE,05/04/2020 00:00,14/11/2019 11:14
ST. LUKE'S HOSPICE PLYMOUTH,"St Lukes Hospice,
Stamford Road,
Turnchapel,
Plymouth,
PL9 9XA",1505753,86900,3,-3,nan,,0,0,21,79,21,79,17,83,32,68,,Steve Statham (CEO),250 to 499,ST. LUKE'S HOSPICE PLYMOUTH,FALSE,05/04/2020 00:00,27/01/2020 10:39
STAN ROBINSON (STAFFORD) LIMITED,"Stan Robinson Ladford Fields,
Seighford,
Stafford,
ST18 7QE",2607362,49410,-6,-16.5,40,41.1,90.8,100,93.6,6.4,98.4,1.6,93.6,6.4,87.1,12.9,,Pauline Wilson (Director),250 to 499,STAN ROBINSON (STAFFORD) LIMITED,FALSE,05/04/2020 00:00,29/01/2020 11:18
STANDARD LIFE ABERDEEN PLC,"1 George Street,
Edinburgh,
United Kingdom,
EH2 2LL",SC286832,70100,39.5,31.4,67.1,54.2,95.6,94.3,36,64,50.5,49.5,60,40,75,25,https://www.standardlifeaberdeen.com/__data/assets/pdf_file/0017/49220/Gender-report-Dec-2019.pdf,Keith Skeoch (CEO),"5000 to 19,999",STANDARD LIFE ABERDEEN PLC,FALSE,05/04/2020 00:00,23/01/2020 09:28
STANDARD LIFE EMPLOYEE SERVICES LIMITED,"1 George Street,
Edinburgh,
United Kingdom,
EH2 2LL",SC271355,82990,32.9,33.3,52.6,39.9,95.8,93.7,33.8,66.2,42.3,57.7,58.7,41.3,68.1,31.9,https://www.standardlifeaberdeen.com/__data/assets/pdf_file/0017/49220/Gender-report-Dec-2019.pdf,Keith Skeoch (CEO),"5000 to 19,999",STANDARD LIFE EMPLOYEE SERVICES LIMITED,FALSE,05/04/2020 00:00,23/01/2020 09:26
STANDARD LIFE INVESTMENTS LIMITED,"1 George Street,
Edinburgh,
EH2 2LL",SC123321,66300,41.4,35.3,63.1,58.9,99.2,98.2,35.6,64.4,52.9,47.1,62.8,37.2,79.9,20.1,https://www.standardlifeaberdeen.com/__data/assets/pdf_file/0017/49220/Gender-report-Dec-2019.pdf,Keith Skeoch (CEO),"5000 to 19,999",STANDARD LIFE INVESTMENTS LIMITED,FALSE,05/04/2020 00:00,23/01/2020 09:27
STANGE & CO. LIMITED,"19 Trinity Square,
Llandudno,
North Wales,
LL30 2RD",639690,"55100,
56302",11.1,0,81.5,21,25.2,13.8,35.9,64.1,44.9,55.1,57.7,42.3,76.9,23.1,,Claire Barrett (HR Manager),250 to 499,STANGE & CO. LIMITED,FALSE,05/04/2020 00:00,31/07/2019 10:25
STAR LIZARD CONSULTING  LIMITED,"Maria House,
35 Millers Road,
Brighton,
BN1 5NP",5686221,74909,2,5,44,61,86,88,94,6,92,8,95,5,94,6,https://www.starlizard.com/gender-pay-gap/,Paul Elworthy (Head of HR),250 to 499,STAR LIZARD CONSULTING LIMITED,FALSE,05/04/2020 00:00,13/12/2019 15:08
STEADFAST CLEANING COMPANY LIMITED,"Unit 7 Target Business Centre,
Bircholt Road,
Park Wood,
Maidstone Kent,
ME15 9YY",1741651,81210,3.1,-2.8,nan,,0,0,22.5,77.5,22,78,22,78,36.7,63.3,,KEITH MILLER (DIRECTOR),250 to 499,STEADFAST CLEANING COMPANY LIMITED,FALSE,05/04/2020 00:00,30/01/2020 12:07
STELRAD LIMITED,"69-75 Side,
Newcastle Upon Tyne,
Tyne And Wear,
NE1 3JE",2263368,25210,10.9,14.5,21.8,61.6,14,8.6,74,26,96,4,93,7,87,13,https://www.stelrad.com/,Kevin Woolley (HR Director),250 to 499,STELRAD LIMITED,FALSE,05/04/2020 00:00,04/12/2019 13:09
Step Academy Trust,"Gonville Road,
Thornton Heath,
Surrey,
CR7 6DL",7612865,"1,
85200",25.5,25.1,nan,,0,0,11,89,9,91,24,76,23,77,https://www.stepacademytrust.org/key-documents/,None,500 to 999,STEP ACADEMY TRUST,FALSE,31/03/2020 00:00,10/12/2019 07:56
Stephenson College,"Thornborough Road,
Coalville,
Leicestershire,
United Kingdom,
LE67 3TN",,"1,
85320",17.3,35.8,nan,,0,0,21,79,28,72,57,43,45,55,https://stephensoncoll.ac.uk/files/GenderPayGapReportMarch2019-1523.pdf,None,250 to 499,Stephenson College,FALSE,31/03/2020 00:00,11/12/2019 13:58
STEPHENSON HARWOOD SERVICES LIMITED,"1 Finsbury Circus,
London,
EC2M 7SH",2900722,69102,22.2,34,44.1,47.7,42.3,33.9,23,77,33.3,66.7,51.5,48.5,45.9,54.1,https://www.shlegal.com/docs/default-source/about-us/final-bd373-gender-pay-gap-reporting_2019.pdf?sfvrsn=a837135b_0,"Liz Cope (Inclusion, Diversity and CSR Manager)",500 to 999,STEPHENSON HARWOOD SERVICES LIMITED,FALSE,05/04/2020 00:00,28/01/2020 09:47
STOCKVALE LIMITED,"7 Nelson Street,
Southend On Sea,
Essex,
United Kingdom,
SS1 1EH",1253715,93210,17.4,0,52.3,30.2,36.8,18.8,32.5,67.5,51.9,48.1,54.3,45.7,66.7,33.3,http://adventureisland.co.uk/recruitment/gender-pay-gap-information/,Maxine Bean (Finance Director),250 to 499,STOCKVALE LIMITED,FALSE,05/04/2020 00:00,31/01/2020 11:20
Stour Vale Academy Trust,"C/O Halesowen College,
Whittingham Road,
Halesowen,
West Midlands,
England,
B63 3NA",7865663,1,21.5,36.6,nan,,0,0,10.1,89.9,21.9,78.1,27.7,72.3,32.8,67.2,https://www.svat.org.uk/,None,250 to 499,STOUR VALE ACADEMY TRUST,FALSE,31/03/2020 00:00,25/07/2019 10:01
STRATHCARRON HOSPICE,"Randolph Hill,
Fankerton,
Denny,
FK6 5HJ",SC068503,86900,11.2,0.8,nan,,0,0,7.3,92.7,11.6,88.4,7.3,92.7,10.1,89.9,https://www.strathcarronhospice.net/Governance,Irene McKie (Chief Executive),250 to 499,STRATHCARRON HOSPICE,FALSE,05/04/2020 00:00,29/01/2020 11:49
STREVENS VEHICLES HOLDINGS LIMITED,"Hazel Drive,
Narborough Road South,
Leicester,
LE3 2JG",2692287,70100,22.5,21.5,58.5,-7.4,44,26.2,78.7,21.3,79.5,20.5,95.3,4.7,95.3,4.7,,Nigel Strevens (Joint Managing Director),500 to 999,STREVENS VEHICLES HOLDINGS LIMITED,FALSE,05/04/2020 00:00,07/01/2020 12:18
STV Television Limited,"Pacific Quay,
Glasgow,
G51 1PQ",SC166604,64209,21,11.9,63.2,35.8,13.2,16.6,46,54,46,54,55,45,60,40,http://www.stvplc.tv/corporateresponsibility/our-people/gender-pay-report,Suzanne Burns (HR & Communications Director),250 to 499,STV TELEVISION LIMITED,FALSE,05/04/2020 00:00,11/12/2019 12:04
Style Acre,"1 London Street,
Reading,
England,
RG1 4PN",4906985,88990,9.1,0,nan,,0,0,22.1,77.9,14.3,85.7,13,87,17.7,82.3,,Chris Ingram (Chief Executive),250 to 499,STYLE ACRE,FALSE,05/04/2020 00:00,30/04/2019 11:26
SUCCESS ACADEMY TRUST,"Thomas Estley Community College,
Station Road,
Broughton Astley,
Leicester,
LE9 6PT",8135389,"85100,
85200,
85310,
85600",35,57,nan,,0,0,2.5,97.5,3.8,96.2,15.2,84.8,26.3,73.7,https://successat.org.uk/trust-documents,None,250 to 499,SUCCESS ACADEMY TRUST,FALSE,31/03/2020 00:00,22/01/2020 14:10
SUN HEALTHCARE LIMITED,"Cockerham Hall,
17 Huddersfield Road,
Barnsley,
South Yorkshire,
S70 2LT",4220821,87900,9,2,nan,,0,0,12,88,12,88,27,73,33,67,,Kelly Gartland (Administrator),250 to 499,SUN HEALTHCARE LIMITED,FALSE,05/04/2020 00:00,03/01/2020 11:06
Surrey and Borders Partnership NHS Foundation Trust,"18 Mole Business Park,
Leatherhead,
KT22 7AD",,"1,
86210",11.9,2.9,69.4,66.8,6.6,4.5,76.3,23.7,75.2,24.8,78.9,21.1,69.3,30.7,https://www.sabp.nhs.uk/aboutus/equality-and-human-rights,None,1000 to 4999,Surrey and Borders Partnership NHS Foundation Trust,FALSE,31/03/2020 00:00,07/01/2020 13:38
Surrey Heath Borough Council,"Surrey Heath House,
Knoll Road, Surrey,
Camberley,
GU15 3HD",,"1,
84110",6.1,10.3,nan,,0,0,37.5,62.5,30.6,69.4,33.8,66.2,44.4,55.6,,None,250 to 499,Surrey Heath Borough Council,FALSE,31/03/2020 00:00,07/05/2019 07:43
Sussex Community NHS Foundation Trust,"Brighton General Hospital,
Elm Grove,
Brighton,
BN2 3EW",,"1,
86210",8.6,-2.5,37.4,66.8,0.8,0.4,15.9,84.1,13.5,86.5,11,89,16.5,83.5,http://www.sussexcommunity.nhs.uk/equality,None,1000 to 4999,Sussex Community NHS Foundation Trust,FALSE,31/03/2020 00:00,06/01/2020 15:08
SVITZER MARINE LIMITED,"Tees Wharf,
Dockside Road,
Middlesbrough,
TS3 6AB",69494,"50200,
52220",15.4,10.7,40.4,43.2,10.5,60,88.9,11.1,89.8,10.2,94.5,5.5,95.3,4.7,,David Noakes (Company Secretary),250 to 499,SVITZER MARINE LIMITED,FALSE,05/04/2020 00:00,09/12/2019 14:03
Swanmore College,"New Road,
Swanmore,
Hampshire,
SO32 2RB",,"1,
85310",9.5,14.1,58.3,49.1,7.7,1.5,34.2,65.8,33.3,66.7,23.7,76.3,25.6,74.4,http://swanmore-school.co.uk/gender-pay-gap/,None,250 to 499,Swanmore College,FALSE,31/03/2020 00:00,17/01/2020 13:39
Swansea University Students' Union,"Faraday Building,
Singleton Park,
Swansea,
SA2 8PP",,94990,7.4,0.1,nan,,0,0,29,71,42,58,33,67,40,60,,Martin Caldwell (Head of Finance & Operations),250 to 499,Swansea University Students' Union,FALSE,05/04/2020 00:00,13/01/2020 13:37
SWINDON PRESSINGS LIMITED,"COMPANY SECRETARY,
Summit One,
Summit Avenue,
Farnborough,
Hampshire,
GU14 0FB",3950873,29201,17,10.9,18,-0.6,100,97,91,9,95,5,97,3,100,0,https://www.mini.co.uk/content/dam/MINI/marketUK/mini_co_uk/en_GB/legal/BMW%20Group%20Swindon%20Gender%20Pay%20Gap%20Reports%20A4.pdf,Bob Shankly (HR Director),500 to 999,SWINDON PRESSINGS LIMITED,FALSE,05/04/2020 00:00,09/12/2019 14:05
"SWISS RE MANAGEMENT LTD, UK BRANCH","30 St Mary Axe,
London,
EC3A 8EP",BR017784,,38.4,26.1,72.7,55.3,95.2,86.5,41.3,58.7,45.2,54.8,71.4,28.6,74.2,25.8,https://www.swissre.com/about-us/diversity-inclusion-in-Swiss-Re/gender-pay-gap-report-2019.html,Tava Madzinga (CEO Swiss Re UK),250 to 499,"SWISS RE MANAGEMENT LTD, UK BRANCH",FALSE,05/04/2020 00:00,11/12/2019 15:35
SWISS RE SERVICES LIMITED,"30 St Mary Axe,
London,
EC3A 8EP",4174890,82990,32.8,39.9,59.7,60,91,92.8,34.3,65.7,45.5,54.5,57.8,42.2,74.3,25.7,https://www.swissre.com/about-us/diversity-inclusion-in-Swiss-Re/gender-pay-gap-report-2019.html,Tava Madzinga (CEO Swiss Re UK),250 to 499,SWISS RE SERVICES LIMITED,FALSE,05/04/2020 00:00,11/12/2019 15:36
Synaptic Trust,"West Thornton Primary Academy,
Rosecourt Road,
Croydon,
Surrey,
CR0 3BS",7588104,"1,
85200",23.8,25.1,nan,,0,0,3.6,96.4,8.8,91.2,15.8,84.2,14.3,85.7,http://thesynaptictrust.org/,None,Less than 250,SYNAPTIC TRUST,FALSE,31/03/2020 00:00,07/05/2019 16:53
T. CLASS SECURITY LIMITED,"6 Skylines Village,
Limeharbour,
London,
E14 9TS",3622392,80100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,https://t-class.co.uk/,Demi Larner (Vetting Officer),250 to 499,T. CLASS SECURITY LIMITED,FALSE,05/04/2020 00:00,08/05/2019 11:13
T. H. WHITE LIMITED,"Nursteed Road,
Devizes,
Wiltshire,
SN10 3EA",519868,"33170,
45190",16.3,21.3,51.1,0,78.3,80.3,71.6,28.4,89.7,10.3,93.1,6.9,93.2,6.8,,Alexander Scott (Group Managing Director),500 to 999,T. H. WHITE LIMITED,FALSE,05/04/2020 00:00,28/01/2020 16:30
T.H.CLEMENTS & SON LIMITED,"West End,
Benington,
Boston,
Lincolnshire,
PE22 0EJ",869514,1130,10,4.5,80.3,56.3,3.6,4.1,42.6,57.4,100,0,72,28,81.7,18.3,https://www.thclements.co.uk/legal,Rachel Gedney (HR Manager),250 to 499,T.H.CLEMENTS & SON LIMITED,FALSE,05/04/2020 00:00,24/01/2020 08:10
TALKTALK GROUP LIMITED,"11 Evesham Street,
London,
W11 4AR",6534112,61900,14.5,12.9,29.3,-35.3,86.6,83.5,58,42,70,30,72,28,74,26,https://www.talktalkgroup.com/our-responsibilities/gender-pay,Tristia Harrison (CEO),1000 to 4999,TALKTALK GROUP LIMITED,FALSE,05/04/2020 00:00,28/01/2020 16:40
Tamworth Borough Council,"Marmion House,
Lichfield Street,
B79 7BZ",,"1,
84110",11,8.5,nan,,0,0,25.4,74.6,41.2,58.8,32.1,67.9,48.3,51.7,,None,250 to 499,Tamworth Borough Council,FALSE,31/03/2020 00:00,21/01/2020 14:03
TAPTON SCHOOL ACADEMY TRUST,"Tapton School,
Darwin Lane,
Sheffield,
South Yorkshire,
S10 5RG",7697171,"85100,
85200,
85310",18,28,nan,,0,0,9,91,26,74,27,73,27,73,https://www.taptontrust.org.uk,None,500 to 999,TAPTON SCHOOL ACADEMY TRUST,FALSE,31/03/2020 00:00,28/01/2020 14:12
TASKMASTER RESOURCES LIMITED,"8 Leodis Court,
David Street Leeds,
LS11 5JJ",3289148,78109,8.4,9.1,26,11.2,78,76,26,74,31,69,39,61,36,64,,Andrew Skorupka (Director),250 to 499,TASKMASTER RESOURCES LIMITED,FALSE,05/04/2020 00:00,31/05/2019 00:59
TAUNTON SCHOOL EDUCATIONAL CHARITY,"Taunton School,
Staplegrove Road,
Taunton,
Somerset,
TA2 6AD",4005803,"85100,
85200,
85310",12.4,12.9,-2,-2,1,1,29.7,70.3,31.9,68.1,41.6,58.4,40.6,59.4,,Johanne Davey (HR Director),500 to 999,TAUNTON SCHOOL EDUCATIONAL CHARITY,FALSE,05/04/2020 00:00,04/06/2019 14:45
TBAP Trust,"The Bridge Ap Academy,
Finlay Street,
London,
SW6 6HB",8425513,"1,
85590",11.2,6.6,81,0,38,44.1,26,74,41,59,41,59,37,63,,None,250 to 499,TBAP TRUST,FALSE,31/03/2020 00:00,03/04/2019 16:22
"Tees, Esk and Wear Valleys NHS Foundation Trust","Flats Lane Centre,
Normanby,
Middlesbrough,
Cleveland,
United Kingdom,
TS6 0SZ",,"1,
86210",14.7,10.1,78.1,98.4,80.4,76.6,18,82,22,78,20,80,29,71,https://www.tewv.nhs.uk/content/uploads/2019/12/Gender-pay-report-March-2019.pdf,None,"5000 to 19,999","Tees, Esk and Wear Valleys NHS Foundation Trust",FALSE,31/03/2020 00:00,23/12/2019 14:54
TELEFONICA UK LIMITED,"260 Bath Road,
Slough,
Berkshire,
SL1 4DX",1743099,"61200,
61900",16.4,21.2,34,28.2,86.7,86.9,59.1,40.9,56.9,43.1,60.9,39.1,72.4,27.6,https://static-www.o2.co.uk/sites/default/files/2020-01/2019_Gender_Pay_Gap_Report.pdf,Hermann Trepesch (Inclusion Manager),"5000 to 19,999",TELEFONICA UK LIMITED,FALSE,05/04/2020 00:00,04/02/2020 13:39
TENTERDEN SCHOOLS TRUST,"Homewood School & Sixth Form Centre,
Ashford Road,
Tenterden,
Kent,
TN30 6LT",7736448,85310,15.2,30.5,45.5,53.1,2.4,9.5,23.5,76.5,12.5,87.5,26.3,73.7,37,63,https://tenterden-schools-trust.com/legal-financial/,None,250 to 499,TENTERDEN SCHOOLS TRUST,FALSE,31/03/2020 00:00,09/01/2020 11:32
TESGL LIMITED,"Ocean Court Caspian Road,
Atlantic Street,
Altrincham,
Cheshire,
WA14 5HH",8462158,43390,36.7,42.1,39.1,53.4,43.1,24.5,39.1,60.9,92.1,7.9,95.2,4.8,93.7,6.3,https://ssemedia.blob.core.windows.net/production/do4kiczh/sse-sustainability-report-2019.pdf,Alistair Phillips-Davies (CEO),250 to 499,TESGL LIMITED,FALSE,05/04/2020 00:00,03/07/2019 12:17
TH UK & IRELAND  LIMITED,"Fortune House, Crabtree Office Village,
Eversley Way,
Egham,
United Kingdom,
TW20 8RY",10303138,56102,25,6,98,97,10,1,39,61,60,40,64,36,60,40,,Aj Singh (Payroll Manager),500 to 999,TH UK & IRELAND LIMITED,FALSE,05/04/2020 00:00,13/12/2019 13:11
THAMES REACH CHARITY,"Employment Academy 29 Peckham Road,
Camberwell,
London,
SE5 8UA",10098652,88990,-1.9,-5.5,nan,,0,0,52.9,47.1,47.1,52.9,38.8,61.2,43.5,56.5,,Paul Jackson (Director of Finance and Central Services),250 to 499,THAMES REACH CHARITY,FALSE,05/04/2020 00:00,06/06/2019 16:03
THAMES WATER UTILITIES LIMITED,"Clearwater Court,
Vastern Road,
Reading,
Berkshire,
RG1 8DB",2366661,36000,10.4,12.2,40.8,0,32,34.2,57.2,42.8,66.1,33.9,73,27,72.6,27.4,,Janet Burr (HR Director),"5000 to 19,999",THAMES WATER UTILITIES LIMITED,FALSE,05/04/2020 00:00,28/06/2019 11:41
"The Abbey School, Reading","17 Kendrick Road,
Reading,
Berkshire,
RG1 5DZ",133676,85310,2.9,-5.9,nan,,0,0,14.5,85.5,18.3,81.7,19.3,80.7,21.1,78.9,https://theabbey.co.uk/,Carole Print (Governor),250 to 499,"THE ABBEY SCHOOL, READING",FALSE,05/04/2020 00:00,29/11/2019 13:54
THE ACTIVE LEARNING TRUST LIMITED,"Isle Of Ely Primary School School Road,
Off Cam Drive,
Ely,
Cambridgeshire,
England,
CB6 2FG",7903002,"1,
85100,
85200,
85310,
85600",40,29.3,nan,,0,0,9.2,90.8,9.2,90.8,15.5,84.5,29.5,70.5,,Stephen Chamberlain (CEO),1000 to 4999,THE ACTIVE LEARNING TRUST LIMITED,FALSE,31/03/2020 00:00,07/01/2020 16:00
THE ALAN NUTTALL PARTNERSHIP LIMITED,"Orchard  House,
Dodwells Road,
Hinckley,
Leicestershire,
LE10 3BZ",1191211,25990,13.1,-3.8,-1,0,99,100,83.6,16.4,90.3,9.7,80.6,19.4,85.2,14.8,https://www.nuttalls.co.uk,Darren Emms (Finance Director),Less than 250,THE ALAN NUTTALL PARTNERSHIP LIMITED,FALSE,05/04/2020 00:00,10/01/2020 14:27
THE ASCENT ACADEMIES' TRUST,"Portland Academy,
Weymouth Road,
Chapelgarth,
Sunderland,
SR3 2NQ",8098007,"85100,
85200,
85310,
85410",14.2,15.1,nan,,0,0,11,89,19,81,15,85,26,74,https://www.ascenttrust.org,None,250 to 499,THE ASCENT ACADEMIES' TRUST,FALSE,31/03/2020 00:00,05/02/2020 10:00
"THE BEDFORDSHIRE, NORTHAMPTONSHIRE, CAMBRIDGESHIRE AND HERTFORDSHIRE COMMUNITY REHABILITATION COMPAN","One Southampton Row,,
Southampton Row,
London,
WC1B 5HA",8802546,84230,-2.5,0.5,-3631,-66.7,4,6,19,81,33,67,33,67,16,84,https://uk.sodexo.com/positive-impact/promoting-inclusive-culture/gender-balance.html,Sarah Perry (Human Resources Director UK&I Region & Global Head of HR Service Operations),250 to 499,"THE BEDFORDSHIRE, NORTHAMPTONSHIRE, CAMBRIDGESHIRE AND HERTFORDSHIRE COMMUNITY REHABILITATION COMPAN",FALSE,05/04/2020 00:00,26/11/2019 10:15
THE BENEFIT EXPRESS LIMITED,"Gordon House,
10 Greencoat Place,
London,
United Kingdom,
SW1P 1PH",4085334,"62090,
70100",24.8,18.9,68.9,31.8,99,100,46.8,53.2,38.7,61.3,60,40,72.8,27.2,https://www.thomsons.com/thomsons-online-benefits-2019-uk-gender-pay-gap/,Stephen Read (CEO),250 to 499,THE BENEFIT EXPRESS LIMITED,FALSE,05/04/2020 00:00,13/01/2020 13:45
THE BISHOP WHEELER CATHOLIC ACADEMY TRUST,"ST MARY'S CATHOLIC VOLUNTARY ACADEMY,
The Bishop Wheeler Catholic Academy Trust Bradford Road,
Menston,
Ilkley,
West Yorkshire,
England,
LS29 6AE",8399801,"85100,
85200,
85310",18.7,36.8,nan,,0,0,15.6,84.4,12.8,87.2,16.7,83.3,25.7,74.3,https://www.bishopwheelercatholicacademytrust.org/gender-pay-gap,None,250 to 499,THE BISHOP WHEELER CATHOLIC ACADEMY TRUST,FALSE,31/03/2020 00:00,28/01/2020 10:12
